Image Path,Class,Width,Height
dataset\paper\04l5I8TqdzF9WDMJ.png,paper,224,224
dataset\paper\0a3UtNzl5Ll3sq8K.png,paper,224,224
dataset\paper\0cb6cVL8pkfi4wF6.png,paper,224,224
dataset\paper\0eqArS2GgsBeqgSn.png,paper,224,224
dataset\paper\0Og76sl5CJhbxWWx.png,paper,224,224
dataset\paper\0RA9rcrv8iVvuDDU.png,paper,224,224
dataset\paper\0t08v9bAaA0mXGCQ.png,paper,224,224
dataset\paper\0Uomd0HvOB33m47I.png,paper,224,224
dataset\paper\0vugygEjxQJPr9yz.png,paper,224,224
dataset\paper\0zKU6wEhT2cDe9j0.png,paper,224,224
dataset\paper\14K62H4KG1hg5qiJ.png,paper,224,224
dataset\paper\1Dfw5FRlS4h60JPX.png,paper,224,224
dataset\paper\1fKclJk4eBWOQSR1.png,paper,224,224
dataset\paper\1Frbe8cdOdkciOBg.png,paper,224,224
dataset\paper\1jHtb93pI8f6pfKo.png,paper,224,224
dataset\paper\1oKnUgV2CdCaQUUX.png,paper,224,224
dataset\paper\1Tt9U9SzrOm98Xtw.png,paper,224,224
dataset\paper\1uoW7QcH2qAgCTxv.png,paper,224,224
dataset\paper\1yeoLbmp4alVOtFv.png,paper,224,224
dataset\paper\1yKjzquSvl9ShK7K.png,paper,224,224
dataset\paper\27XFtQjjXQ8AP8Tl.png,paper,224,224
dataset\paper\2DQbLQfHlfrcATqi.png,paper,224,224
dataset\paper\2F8Ng7620ANA7tEK.png,paper,224,224
dataset\paper\2IOsxsG8AaxntdJM.png,paper,224,224
dataset\paper\2OCAZGNv2OEzgAwU.png,paper,224,224
dataset\paper\2PAcPusQ59xIMfiw.png,paper,224,224
dataset\paper\2PiUTczN5Ez4VreF.png,paper,224,224
dataset\paper\2SldJqjiZwIVPef9.png,paper,224,224
dataset\paper\2tDgPZGqbrw95j39.png,paper,224,224
dataset\paper\2UKnsncgPodQLOFR.png,paper,224,224
dataset\paper\37PRV3B9HxuUPkQr.png,paper,224,224
dataset\paper\389udM70tLrMVL5H.png,paper,224,224
dataset\paper\3JN7OPsnxDBpcVeD.png,paper,224,224
dataset\paper\3K6a8bG8j1YTH1l0.png,paper,224,224
dataset\paper\3MMu7EXUtM6aEtXU.png,paper,224,224
dataset\paper\3sKeYzYsjbWQVhc4.png,paper,224,224
dataset\paper\3tNHP8R9YHru011u.png,paper,224,224
dataset\paper\3tyVmhojjwETaf1u.png,paper,224,224
dataset\paper\3XEQ73XMn7zaww2T.png,paper,224,224
dataset\paper\3YvRoN0ZGuXVWEbh.png,paper,224,224
dataset\paper\41HC0VBlHSRhi0AG.png,paper,224,224
dataset\paper\4484TuJc6AH7pDOG.png,paper,224,224
dataset\paper\45ho1tx7W1LZB0DU.png,paper,224,224
dataset\paper\45OQyZuXtfNCc8Rk.png,paper,224,224
dataset\paper\460WcktBwCAzsU0A.png,paper,224,224
dataset\paper\4aWP3XumkgwZtqZ7.png,paper,224,224
dataset\paper\4Bimc2E5E9jTh1Fh.png,paper,224,224
dataset\paper\4bkmUMq0wOXElBIl.png,paper,224,224
dataset\paper\4dpYSXpjYbiH9MSq.png,paper,224,224
dataset\paper\4fCqIVTEuFLsQMaZ.png,paper,224,224
dataset\paper\4Fxr7klOIfijCpio.png,paper,224,224
dataset\paper\4hcthlc3eCByBJFh.png,paper,224,224
dataset\paper\4IwJ2iL6pFz5ARWA.png,paper,224,224
dataset\paper\4Pir885YNPXiRs0R.png,paper,224,224
dataset\paper\4ZoU4nouZzb9G2MI.png,paper,224,224
dataset\paper\50Wjlq1jW7o3wcl8.png,paper,224,224
dataset\paper\52nvTykEONIdmqQI.png,paper,224,224
dataset\paper\54xah1BB0YTQS3Ib.png,paper,224,224
dataset\paper\5Cy2fFOaWMFwa5iu.png,paper,224,224
dataset\paper\5eRezaxzYX8Canq0.png,paper,224,224
dataset\paper\5FVy5hSvZ9c0M2Y5.png,paper,224,224
dataset\paper\5Iz9WPYz1C3PKWxj.png,paper,224,224
dataset\paper\5jcXrtjEVtQwI0Wa.png,paper,224,224
dataset\paper\5kJec3v9txvrAb4g.png,paper,224,224
dataset\paper\5NsmQol0TP7h80bh.png,paper,224,224
dataset\paper\5RvFm2PYoG18yIZO.png,paper,224,224
dataset\paper\5U8st2LCr9zLl5og.png,paper,224,224
dataset\paper\68QZtdP6UaIcIE55.png,paper,224,224
dataset\paper\6BIKQpfZEfQkCvrz.png,paper,224,224
dataset\paper\6NzgMmSELzk3WtZh.png,paper,224,224
dataset\paper\6OhEpnz0QxBCfbXE.png,paper,224,224
dataset\paper\6q2PxM8Kk16UxoMY.png,paper,224,224
dataset\paper\6wuALDd920vZ0qZE.png,paper,224,224
dataset\paper\6ycslJxTsTjZc5H2.png,paper,224,224
dataset\paper\73UfZ8Dwj0OB66IV.png,paper,224,224
dataset\paper\74FZPuPPfVCwqHgO.png,paper,224,224
dataset\paper\755DbuyE4rf2oGPA.png,paper,224,224
dataset\paper\77rce5yVvVPIPmp8.png,paper,224,224
dataset\paper\7fRLxoheLluOwCkp.png,paper,224,224
dataset\paper\7I1fABs6SL1T4MNb.png,paper,224,224
dataset\paper\7IYZ788SAadhvemj.png,paper,224,224
